Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Michelle Wu,Michelle Wu Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 13, PRECINCT 10",486,53.06,427,46.62,916,3,0.33,1310
"WARD 14, PRECINCT 1",144,23.88,453,75.12,603,6,1.00,1401
"WARD 14, PRECINCT 2",172,28.48,427,70.70,604,5,0.83,1402
"WARD 14, PRECINCT 3",50,18.80,213,80.08,266,3,1.13,1403
"WARD 14, PRECINCT 4",99,26.05,274,72.11,380,7,1.84,1404
"WARD 14, PRECINCT 5",70,26.82,191,73.18,261,0,0.00,1405
"WARD 14, PRECINCT 6",86,30.94,189,67.99,278,3,1.08,1406
"WARD 14, PRECINCT 7",58,21.09,213,77.45,275,4,1.45,1407
"WARD 14, PRECINCT 8",96,22.91,320,76.37,419,3,0.72,1408
"WARD 14, PRECINCT 9",81,31.15,176,67.69,260,3,1.15,1409
"WARD 14, PRECINCT 10",117,33.14,234,66.29,353,2,0.57,1410
"WARD 14, PRECINCT 11",78,23.49,244,73.49,332,10,3.01,1411
"WARD 14, PRECINCT 12",49,25.26,145,74.74,194,0,0.00,1412
"WARD 14, PRECINCT 13",85,28.91,207,70.41,294,2,0.68,1413
"WARD 14, PRECINCT 14",94,29.94,215,68.47,314,5,1.59,1414
"WARD 15, PRECINCT 1",108,27.41,285,72.34,394,1,0.25,1501
"WARD 15, PRECINCT 2",85,35.12,156,64.46,242,1,0.41,1502
"WARD 15, PRECINCT 3",61,35.67,109,63.74,171,1,0.58,1503
"WARD 15, PRECINCT 4",167,35.91,298,64.09,465,0,0.00,1504
"WARD 15, PRECINCT 5",95,29.69,222,69.38,320,3,0.94,1505
"WARD 15, PRECINCT 6",118,44.70,146,55.30,264,0,0.00,1506
"WARD 15, PRECINCT 7",88,32.00,186,67.64,275,1,0.36,1507
"WARD 15, PRECINCT 8",102,37.09,173,62.91,275,0,0.00,1508
"WARD 15, PRECINCT 9",92,33.70,179,65.57,273,2,0.73,1509
"WARD 16, PRECINCT 1",107,31.29,233,68.13,342,2,0.58,1601
