Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Richard Spagnuolo,Richard Spagnuolo Percent,Andrea Campbell,Andrea Campbell Percent,Kim Janey,Kim Janey Percent,Michelle Wu,Michelle Wu Percent,Jon Santiago,Jon Santiago Percent,Robert Cappucci,Robert Cappucci Percent,John Barros,John Barros Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 17, PRECINCT 12",39,12.54,0,0,85,27.33,141,45.34,33,10.61,0,0,0,0,13,4.18,311,0,0,1712
"WARD 17, PRECINCT 13",152,31.08,0,0,111,22.7,97,19.84,110,22.49,1,0.2,5,1.02,13,2.66,489,0,0,1713
"WARD 17, PRECINCT 14",83,17.4,0,0,170,35.64,104,21.8,101,21.17,0,0,1,0.21,16,3.35,477,2,0.42,1714
"WARD 18, PRECINCT 1",42,7.06,1,0.17,194,32.61,281,47.23,58,9.75,0,0,1,0.17,18,3.03,595,0,0,1801
"WARD 18, PRECINCT 2",18,5.33,0,0,75,22.19,188,55.62,49,14.5,1,0.3,0,0,6,1.78,338,1,0.3,1802
"WARD 18, PRECINCT 3",33,7.59,0,0,82,18.85,247,56.78,69,15.86,0,0,1,0.23,3,0.69,435,0,0,1803
"WARD 18, PRECINCT 4",27,5.65,0,0,125,26.15,238,49.79,84,17.57,0,0,0,0,4,0.84,478,0,0,1804
"WARD 18, PRECINCT 5",41,7.3,1,0.18,102,18.15,318,56.58,83,14.77,3,0.53,1,0.18,13,2.31,562,0,0,1805
"WARD 18, PRECINCT 6",35,5.46,0,0,132,20.59,366,57.1,94,14.66,0,0,1,0.16,13,2.03,641,0,0,1806
"WARD 18, PRECINCT 7",60,13.04,1,0.22,134,29.13,120,26.09,134,29.13,3,0.65,1,0.22,7,1.52,460,0,0,1807
"WARD 18, PRECINCT 8",102,13.6,2,0.27,99,13.2,348,46.4,176,23.47,2,0.27,2,0.27,18,2.4,750,1,0.13,1808
"WARD 18, PRECINCT 9",113,20,1,0.18,108,19.12,104,18.41,224,39.65,3,0.53,4,0.71,8,1.42,565,0,0,1809
"WARD 18, PRECINCT 10",152,17.47,0,0,157,18.05,90,10.34,454,52.18,1,0.11,3,0.34,13,1.49,870,0,0,1810
"WARD 18, PRECINCT 11",41,12.09,2,0.59,63,18.58,120,35.4,106,31.27,0,0,1,0.29,6,1.77,339,0,0,1811
"WARD 18, PRECINCT 12",105,21.34,0,0,85,17.28,132,26.83,157,31.91,0,0,6,1.22,7,1.42,492,0,0,1812
"WARD 18, PRECINCT 13",43,17.55,0,0,46,18.78,83,33.88,66,26.94,2,0.82,0,0,5,2.04,245,0,0,1813
